index,area,city
744,Oddepalle ,2
745,P.E.S.MEDICAL COLLEGE ,2
746,Pachalamarri ,2
747,Pachanapalle ,2
748,Pachigunta ,2
749,Paipalle ,2
750,Palakur ,2
751,Palamakulapalle ,2
752,Palamaner ,2
753,Palasamudram ,2
754,Pallicheruvu ,2
755,Pallikuppam ,2
756,Pallur ,2
757,Pamuganipalle ,2
758,Pandillapalle ,2
759,Panjani ,2
760,Pantramanapalle ,2
761,Papisettipalle ,2
762,Parikidona ,2
763,Pathapeta palamaner ,2
764,Pathapolu ,2
765,Pathikonda ,2
766,Patnam ,2
767,Patoor ,2
768,Patrapalle ,2
769,Pattamvandlapalle ,2
770,Peddabangarunatham ,2
771,Peddachellaragunta ,2
772,Peddakalva ,2
773,Peddapalem ,2
774,Peddatippasamudram ,2
775,Peddaupparapalle ,2
776,Peddavelagathur ,2
777,Peddayellakunta ,2
778,Peddur ,2
779,Peddur Reservoir ,2
780,Peddur RKPM ,2
781,Penchupadu ,2
782,Pengaragunta ,2
783,Penumur ,2
784,Periyambadi ,2
785,Pitchalvandlapalle ,2
786,Pogurupalle ,2
787,Polakala ,2
788,Polavaram ,2
789,Ponnutipalem ,3
790,Poonepallekandriga ,2
791,Prasanth Nagar  (Chittoor),2
792,Pudipatla ,2
793,Pulikallu ,2
794,Pulikallu PTM  ,2
795,Pullur ,2
796,Pullur KTP ,2
797,Punganur Bus Stand ,2
798,Punganur ,2
799,Puthalapattu ,2
800,Puthur ,2
801,Putramaddi ,2
802,Rachavetivaripalle ,3
803,Ragimanipenta ,2
804,Rajupeta ,2
805,Rallabudugur ,2
806,Ramakuppam ,2
807,Ramanaidupalle ,2
808,Ramapuram  (Chittoor),2
809,Ramasamudram ,2
810,Rangasamudram ,2
811,Rapurivaripalle ,2
812,Readspet ,2
813,Reddigunta ,2
814,Reddivaripalle ,3
815,Reddivaripalle SDM ,2
816,Renumakulapalle ,2
817,Ripunjirajapuram ,2
818,Rishivalley ,2
819,Royalpet ,2
820,S.S.Konda ,2
821,Sadakuppam ,2
822,Samireddipalle ,2
823,Sampathikota ,2
824,Sanganapalle ,2
825,Santhabandapalle ,2
826,Santhipuram ,2
827,Sarakallu ,2
828,Sathambakkam ,2
829,Settivanatham ,2
830,Siddarajurangarajukandiga ,2
831,Simharajapuram ,2
832,Singasamudram ,2
833,Sivadi ,2
834,Sivaramapuram ,2
835,Sodam ,2
836,Sogadaballa ,2
837,Somala ,2
838,Sompalem ,2
839,Sompalle ,2
840,Sonnarasanapalle ,2
841,Srikaverirajapuram ,2
842,Srirangarajapuram ,2
843,Sugalimitta ,2
844,Suraiahgaripalle ,2
845,T. Savatapalle ,2
846,T.Salimamidi ,2
847,T.Sodam ,2
848,T.Sowdasamudram ,2
849,Tavalam ,2
850,Tekumanda ,2
851,Tenebanda ,2
852,Tenepalle ,2
853,Thalambedu ,2
854,Thalupulapalle ,2
855,Thamballapalle ,2
856,Thambuganipalle ,2
